Title	Python (P_QFT_D) vs. Matlab (M_QFT_D) vs. Qiskit (Qkd*)																	
Method:	deep QFT circuit using dense matrices																	
Y	time	s	log															
DIM	P_QFT_D	M_QFT_D	Qkd	Qkd_GPU														
14	1536.566247064	342.373922298	244.39071911	69.981933476	256.1021	0.099358	0.29929	0.016587	0.019548	0.005234	0.00872	0.00059	0.026147	0.1	0.94	0.46	0.47	
15	6374.234840733	1262.680070161	1073.073620707	294.031957383	1144.3	0.17838	0.58014	0.03441	0.034605	0.009081	0.00962	0.001146	0.026521	0.12	1.09	0.52	0.53	
16			4817.875621269	1295.963723542	5124.4	0.37456	1.1619	0.06892	0.057134	0.015136	0.0103	0.002875	0.030293	0.13	1.39	0.6	0.61	
17						0.80855	2.3141	0.13986	0.10001	0.025074	0.01095	0.002975	0.038241	0.15	1.57	0.69	0.68	
18						2.0682	4.7166	0.33738	0.19931	0.04762	0.01215	0.004192	0.041681	0.16	2.28	0.79	0.76	
19						5.1055	9.5474	0.91824	0.40954	0.11339	0.0141	0.012663	0.055331	0.19	3.11	0.94	0.85	
20						13.385	19.058	1.7649	0.87702	0.30517	0.01916	0.022101	0.096837	0.21	4.84	1.18	0.94	
21						42.7997	37.972	6.2733	1.9635	0.85657	0.02389	0.047841	0.166531	0.23	11.95	1.72	1.05	
22						98.7821	76.403	15.908	4.2757	2.2289	0.03415	0.11314	0.332608	0.26	23.67	2.86	1.19	
23						234.9669	154.27	36.146	8.6649	4.6285	0.05798	0.20842	0.843609	0.31	46.62	4.96	1.37	
24						543.6723	308.01	77.918	17.973	9.3439	0.15041	0.40211	1.698419	0.39	94.1	9.3	1.62	
25						1226.9	611.76	167.81	36.693	19.1	0.34735	0.76956	3.443609	0.51	202.64	18.41	2.04	
26						2686.8	1215.5	353.14	75.869	39.469	0.8288	1.5306	6.33769	0.75	415.89	36.91	2.81	
27						5854.8	2459.8	755.89	159.03	81.882	1.66636	2.9449	13.307583	1.23	864.55	76.21	4.24	
28						12757	4899.7	1549	331.44	174.19		6.0094	27.332357	2.2	1842.49	161.53	7.17	
29							9792.8	3338.2	678.05	363.54		12.124	60.837341					
30							19506	7098.3	1438.6	892.51		30.011	127.82519					
31													251.241962					
32													529.436972					
33													1118.068713					
																		
Title	Memory peak summary																	
Method:	all available																	
Y	memory peak	MB	log															
DIM	P_QFT_D	P_SQFT_D	P_QFT_S	P_SQFT_S	M_QFT_D*	M_QFT_S*	M_FFT-DIF*	M_SQFT_S*	M_SQFT_VEC_V1*	M_SQFT_VEC_V2*	M_SQFT_VEC_V2_GPU*	M_FFT*	M_FFT_GPU*	QK_state_cpu	QK_state_gpu	PL_default	PL_lightning	PL_gpu
1	0.00132	0.001376	0.00132	0.001376			1.048576	1.048576				0.000032	0.000032	128.96	342.0078125	0.27	2.2	2.25
2	0.00416	0.004288	0.008985	0.009145	0.04096							0.000064	0.000064	129.28	342.2421875	0.14	0.11	0.13
3	0.009208	0.009112	0.016332	0.014342								0.000128	0.000128	129.26	342.515625	0.12	0.12	0.12
4	0.025648	0.024256	0.035047	0.026493								0.000256	0.000256	129.38	342.59765625	0.18	0.16	0.14
5	0.083912	0.079416	0.078085	0.065594								0.000512	0.000512	129.38	342.66015625	0.19	0.16	0.16
6	0.302176	0.29216	0.240976	0.242136								1.02E-03	0.001024	129.48	342.77734375	0.22	0.2	0.18
7	0.889304	0.870584	0.814118	0.815102								2.05E-03	0.002048	129.45	342.84765625	0.26	0.2	0.2
8	3.200904	3.169688	2.84231	2.84367	0.26624							4.10E-03	0.004096	129.46	342.95703125	0.3	0.22	0.22
9	12.6646	12.616392	10.953482	10.955126	7.35232							0.008192	0.008192	129.57	343.015625	0.34	0.25	0.28
10	50.44964	50.379368	43.395874	43.397682	29.372416							0.016384	0.016384	129.7	343.1953125	0.39	0.29	0.31
11	201.472896	201.397336	173.160192	173.162376	117.4528							0.032768	0.032768	129.59	343.3828125	0.43	0.35	0.33
12	805.48544	805.417208	692.212066	692.214212	402.665472							0.065536	0.065536	129.65	343.6484375	0.56	0.41	0.41
13	3221.47008	3221.409832	2768.405168	2768.407598	1611.247616							0.131072	0.131072	129.78	344.15625	0.92	0.5	0.5
14	12885.277568	12885.225992	11073.151998	11073.154528	6444.118016	1.200128						0.262144	0.262144	129.95	345.01953125	1.51	0.75	0.75
15	51540.245376	51540.203128	44292.088934	44292.091794	25769.844736	2.78528						0.524288	0.524288	130.46	346.1328125	2.68	1.5	1.5
16			177167.73866	177167.74162		4.743168	8.003584	2.637824	1.052672	2.248704		1.048576	1.048576	130.58	347.609375	5.19	3	3.04
17						6.746112	5.267456	7.356416	4.206592	5.259264		2.097152	2.097152	131.55	350.6875	10.21	6	6
18						17.8176	15.732736	17.866752	12.599296	10.502144	8.388608	4.194304	4.194304	133.7	356.78515625	20.23	12.04	12
19						35.647488	36.769792	35.680256	25.182208	20.987904	16.777216	8.388608	8.388608	137.66	365.3125	40.25	24.04	24.04
20						71.33184	78.76608	71.29088	41.955328	46.424064	41.94304	33.558528	16.777216	145.71	385.3984375	80.36	48.04	48
21						142.635008	163.135488	142.635008	83.898368	79.74912	67.108864	67.11296	33.554432	162	425.55859375	160.3	96.04	96.04
22						285.241344	330.432512	285.241344	167.784448	176.840704	134.217728	134.221824	201.326592	193.95	505.6796875	320.32	192.04	192.04
23						570.454016	668.667904	570.454016	335.556608	369.082368	268.435456	268.439552	402.653184	258.15	665.8515625	640.35	384.04	384.04
24						1140.912128	1340.84608	1140.912128	671.100928	738.349056	671.08864	536.875008	805.306368	386.19	986.015625	1280.37	768.04	768.04
25						2281.69728	2681.393152	2281.69728	1342.222336	1476.54656	1342.17728	1073.74592	1610.612736	642.12	1626.15234375	2560.48	1536.04	1536.04
26								4563.431424	2684.399616	2952.810496	2684.35456	2150.13376	3221.225472	1154.17	2906.40625	5120.43	3072.04	3072.04
27								9126.834176	5368.721408	5905.600512	5939.134464	4295.462912	4491.575296	2178.46	5466.48046875	10240.46	6144.04	6144.04
28								18253.672448	10737.496064	11811.442688	12884.901888	8589.938688	8858.370048	4226.33	10586.58203125	20480.49	12288.04	12288.04
29														8322.42				
30														16514.52				
31														32898.66				
32														65666.64				
33														131202.79				
																		
Title	CPU vs. GPU																	
Method:	Qiskit, PennyLane and MATLAB																	
Y	time	s	log															
DIM	QK_cpu	QK_gpu	PL_defaut	PL_lightning	PL_gpu	M_SQFT_VEC_V2	M_SQFT_VEC_V2_GPU											
1	0.003184	0.19	0.04	0.03	0.21	0.004821	0.81282											
2	0.004538	0.01	0.04	0.02	0.02	0.011492	0.04068											
3	0.004829	0.01	0.05	0.03	0.04	0.004344	0.03313											
4	0.004641	0.01	0.07	0.05	0.05	0.00374	0.00476											
5	0.005257	0.02	0.1	0.06	0.07	0.00314	0.00895											
6	0.00584	0.02	0.13	0.08	0.09	0.000389	0.00383											
7	0.00641	0.03	0.17	0.11	0.12	0.000377	0.00409											
8	0.009897	0.04	0.22	0.14	0.16	0.00052	0.00464											
9	0.014935	0.05	0.27	0.18	0.19	0.000887	0.00527											
10	0.010222	0.06	0.34	0.22	0.24	0.001179	0.00588											
11	0.014319	0.07	0.41	0.27	0.29	0.00178	0.00636											
12	0.015214	0.08	0.49	0.32	0.34	0.002326	0.00785											
13	0.017631	0.09	0.77	0.37	0.4	0.003157	0.00793											
14	0.026147	0.1	0.94	0.46	0.47	0.005234	0.00872											
15	0.026521	0.12	1.09	0.52	0.53	0.009081	0.00962											
16	0.030293	0.13	1.39	0.6	0.61	0.015136	0.0103											
17	0.038241	0.15	1.57	0.69	0.68	0.025074	0.01095											
18	0.041681	0.16	2.28	0.79	0.76	0.04762	0.01215											
19	0.055331	0.19	3.11	0.94	0.85	0.11339	0.0141											
20	0.096837	0.21	4.84	1.18	0.94	0.30517	0.01916											
21	0.166531	0.23	11.95	1.72	1.05	0.85657	0.02389											
22	0.332608	0.26	23.67	2.86	1.19	2.2289	0.03415											
23	0.843609	0.31	46.62	4.96	1.37	4.6285	0.05798											
24	1.698419	0.39	94.1	9.3	1.62	9.3439	0.15041											
25	3.443609	0.51	202.64	18.41	2.04	19.1	0.34735											
26	6.33769	0.75	415.89	36.91	2.81	39.469	0.8288											
27	13.307583	1.23	864.55	76.21	4.24	81.882	1.66636											
28	27.332357	2.2	1842.49	161.53	7.17	174.19												
29	60.837341					363.54												
30	127.82519					892.51												
31	251.241962																	
32	529.436972																	
33	1118.068713																	
																		
Title	Comparism runtime Python, Matlab																	
Method:	deep QFT circuit using dense, sparse and SQFT sparse matrices																	
Y	time	s	log															
DIM	P_QFT_D	P_QFT_S	P_SQFT_S	M_QFT_D	M_QFT_S	M_SQFT_S	M_FFT											
1	0.000171688000000003	0.000114801000000053	0.000161380000000211	0.034125	0.005329	0.016163	0.016289											
2	0.000495560000000062	0.00327578299999987	0.00236104599999987	0.038293	0.012179	0.007696	0.000212											
3	0.00111446299999995	0.00833945800000002	0.00597309400000023	0.012424	0.008713	0.008623	0.000193											
4	0.00255909800000032	0.0183297499999999	0.0109329669999996	0.004842	0.004879	0.003463	0.000233											
5	0.00523008600000008	0.0363350040000001	0.0174122899999998	0.003616	0.002339	0.003767	0.001026											
6	0.251751342	0.0593096430000002	0.0253591050000002	0.015691	0.001902	0.000887	6.20E-05											
7	0.419473701	0.0949551819999996	0.0359069960000005	0.027721	0.002868	0.001065	7.10E-05											
8	2.021285453	0.156920777	0.054452779	0.057505	0.004134	0.00148	8.80E-05											
9	8.405044653	0.264739497999997	0.088650960999999	0.13041	0.006213	0.001974	0.000151											
10	36.082557429	0.589188014000001	0.207172559	0.45921	0.009679	0.00261	0.000142											
11	110.987955965	3.00299739499999	0.959027596999988	3.1274	0.013955	0.004481	0.000216											
12	190.025001307	11.594359663	3.77286263000002	13.381	0.022378	0.005415	0.000299											
13	470.015500905	54.0323794180001	16.480354282	57.6189	0.040324	0.008943	0.000464											
14	1536.566247064	244.39071911	69.981933476	256.1021	0.099358	0.016587	0.00059											
15	6374.234840733	1073.073620707	294.031957383	1144.3	0.17838	0.03441	0.001146											
16		4817.875621269	1295.963723542	5124.4	0.37456	0.06892	0.002875											
17					0.80855	0.13986	0.002975											
18					2.0682	0.33738	0.004192											
19					5.1055	0.91824	0.012663											
20					13.385	1.7649	0.022101											
21					42.7997	6.2733	0.047841											
22					98.7821	15.908	0.11314											
23					234.9669	36.146	0.20842											
24					543.6723	77.918	0.40211											
25					1226.9	167.81	0.76956											
26					2686.8	353.14	1.5306											
27					5854.8	755.89	2.9449											
28					12757	1549	6.0094											
29						3338.2	12.124											
30						7098.3	30.011											
																		
Title	Comparism runtime Python																	
Method:	deep QFT circuit using dense, sparse and SQFT sparse matrices																	
Y	time	s	log															
DIM	P_QFT_D	P_QFT_S	P_SQFT_S															
1	0.000171688000000003	0.000114801000000053	0.000161380000000211															
2	0.000495560000000062	0.00327578299999987	0.00236104599999987															
3	0.00111446299999995	0.00833945800000002	0.00597309400000023															
4	0.00255909800000032	0.0183297499999999	0.0109329669999996															
5	0.00523008600000008	0.0363350040000001	0.0174122899999998															
6	0.251751342	0.0593096430000002	0.0253591050000002															
7	0.419473701	0.0949551819999996	0.0359069960000005															
8	2.021285453	0.156920777	0.054452779															
9	8.405044653	0.264739497999997	0.088650960999999															
10	36.082557429	0.589188014000001	0.207172559															
11	110.987955965	3.00299739499999	0.959027596999988															
12	190.025001307	11.594359663	3.77286263000002															
13	470.015500905	54.0323794180001	16.480354282															
14	1536.566247064	244.39071911	69.981933476															
15	6374.234840733	1073.073620707	294.031957383															
16		4817.875621269	1295.963723542															
																		
Title	Comparism runtime Python, Matlab, Qiskit, Pennylane																	
Method:	deep QFT circuit using dense, sparse and SQFT sparse matrices vs. State vector																	
Y	time	s	log															
DIM	P_QFT_D	P_QFT_S	P_SQFT_S	M_QFT_D	M_QFT_S	M_SQFT_S	M_FFT	QK_state_cpu	PL_lightning									
1	0.000171688000000003	0.000114801000000053	0.000161380000000211	0.034125	0.005329	0.016163	0.016289	0.003184	0.03									
2	0.000495560000000062	0.00327578299999987	0.00236104599999987	0.038293	0.012179	0.007696	0.000212	0.004538	0.02									
3	0.00111446299999995	0.00833945800000002	0.00597309400000023	0.012424	0.008713	0.008623	0.000193	0.004829	0.03									
4	0.00255909800000032	0.0183297499999999	0.0109329669999996	0.004842	0.004879	0.003463	0.000233	0.004641	0.05									
5	0.00523008600000008	0.0363350040000001	0.0174122899999998	0.003616	0.002339	0.003767	0.001026	0.005257	0.06									
6	0.251751342	0.0593096430000002	0.0253591050000002	0.015691	0.001902	0.000887	6.20E-05	0.00584	0.08									
7	0.419473701	0.0949551819999996	0.0359069960000005	0.027721	0.002868	0.001065	7.10E-05	0.00641	0.11									
8	2.021285453	0.156920777	0.054452779	0.057505	0.004134	0.00148	8.80E-05	0.009897	0.14									
9	8.405044653	0.264739497999997	0.088650960999999	0.13041	0.006213	0.001974	0.000151	0.014935	0.18									
10	36.082557429	0.589188014000001	0.207172559	0.45921	0.009679	0.00261	0.000142	0.010222	0.22									
11	110.987955965	3.00299739499999	0.959027596999988	3.1274	0.013955	0.004481	0.000216	0.014319	0.27									
12	190.025001307	11.594359663	3.77286263000002	13.381	0.022378	0.005415	0.000299	0.015214	0.32									
13	470.015500905	54.0323794180001	16.480354282	57.6189	0.040324	0.008943	0.000464	0.017631	0.37									
14	1536.566247064	244.39071911	69.981933476	256.1021	0.099358	0.016587	0.00059	0.026147	0.46									
15	6374.234840733	1073.073620707	294.031957383	1144.3	0.17838	0.03441	0.001146	0.026521	0.52									
16		4817.875621269	1295.963723542	5124.4	0.37456	0.06892	0.002875	0.030293	0.6									
17					0.80855	0.13986	0.002975	0.038241	0.69									
18					2.0682	0.33738	0.004192	0.041681	0.79									
19					5.1055	0.91824	0.012663	0.055331	0.94									
20					13.385	1.7649	0.022101	0.096837	1.18									
21					42.7997	6.2733	0.047841	0.166531	1.72									
22					98.7821	15.908	0.11314	0.332608	2.86									
23					234.9669	36.146	0.20842	0.843609	4.96									
24					543.6723	77.918	0.40211	1.698419	9.3									
25					1226.9	167.81	0.76956	3.443609	18.41									
26					2686.8	353.14	1.5306	6.33769	36.91									
27					5854.8	755.89	2.9449	13.307583	76.21									
28					12757	1549	6.0094	27.332357	161.53									
29						3338.2	12.124	60.837341										
30						7098.3	30.011	127.82519										
31								251.241962										
32								529.436972										
33								1118.068713										
																		
Title	Memory peak summary																	
Method:	Python only																	
Y	memory peak	MB	log															
DIM	P_QFT_D	P_SQFT_D	P_QFT_S	P_SQFT_S														
1	0.00132	0.001376	0.00132	0.001376														
2	0.00416	0.004288	0.008985	0.009145														
3	0.009208	0.009112	0.016332	0.014342														
4	0.025648	0.024256	0.035047	0.026493														
5	0.083912	0.079416	0.078085	0.065594														
6	0.302176	0.29216	0.240976	0.242136														
7	0.889304	0.870584	0.814118	0.815102														
8	3.200904	3.169688	2.84231	2.84367														
9	12.6646	12.616392	10.953482	10.955126														
10	50.44964	50.379368	43.395874	43.397682														
11	201.472896	201.397336	173.160192	173.162376														
12	805.48544	805.417208	692.212066	692.214212														
13	3221.47008	3221.409832	2768.405168	2768.407598														
14	12885.277568	12885.225992	11073.151998	11073.154528														
15	51540.245376	51540.203128	44292.088934	44292.091794														
16			177167.73866	177167.74162														
																		
Title	Memory peak summary																	
Method:	Python and Matlab																	
Y	memory peak	MB	log															
DIM	P_QFT_D	P_SQFT_D	P_QFT_S	P_SQFT_S	M_QFT_D*	M_QFT_S*	M_FFT-DIF*	M_SQFT_S*	M_SQFT_VEC_V1*	M_SQFT_VEC_V2*	M_SQFT_VEC_V2_GPU*	M_FFT*	M_FFT_GPU*					
1	0.00132	0.001376	0.00132	0.001376			1.048576	1.048576				0.000032	0.000032					
2	0.00416	0.004288	0.008985	0.009145	0.04096							0.000064	0.000064					
3	0.009208	0.009112	0.016332	0.014342								0.000128	0.000128					
4	0.025648	0.024256	0.035047	0.026493								0.000256	0.000256					
5	0.083912	0.079416	0.078085	0.065594								0.000512	0.000512					
6	0.302176	0.29216	0.240976	0.242136								1.02E-03	0.001024					
7	0.889304	0.870584	0.814118	0.815102								2.05E-03	0.002048					
8	3.200904	3.169688	2.84231	2.84367	0.26624							4.10E-03	0.004096					
9	12.6646	12.616392	10.953482	10.955126	7.35232							0.008192	0.008192					
10	50.44964	50.379368	43.395874	43.397682	29.372416							0.016384	0.016384					
11	201.472896	201.397336	173.160192	173.162376	117.4528							0.032768	0.032768					
12	805.48544	805.417208	692.212066	692.214212	402.665472							0.065536	0.065536					
13	3221.47008	3221.409832	2768.405168	2768.407598	1611.247616							0.131072	0.131072					
14	12885.277568	12885.225992	11073.151998	11073.154528	6444.118016	1.200128						0.262144	0.262144					
15	51540.245376	51540.203128	44292.088934	44292.091794	25769.844736	2.78528						0.524288	0.524288					
16			177167.73866	177167.74162		4.743168	8.003584	2.637824	1.052672	2.248704		1.048576	1.048576					
17						6.746112	5.267456	7.356416	4.206592	5.259264		2.097152	2.097152					
18						17.8176	15.732736	17.866752	12.599296	10.502144	8.388608	4.194304	4.194304					
19						35.647488	36.769792	35.680256	25.182208	20.987904	16.777216	8.388608	8.388608					
20						71.33184	78.76608	71.29088	41.955328	46.424064	41.94304	33.558528	16.777216					
21						142.635008	163.135488	142.635008	83.898368	79.74912	67.108864	67.11296	33.554432					
22						285.241344	330.432512	285.241344	167.784448	176.840704	134.217728	134.221824	201.326592					
23						570.454016	668.667904	570.454016	335.556608	369.082368	268.435456	268.439552	402.653184					
24						1140.912128	1340.84608	1140.912128	671.100928	738.349056	671.08864	536.875008	805.306368					
25						2281.69728	2681.393152	2281.69728	1342.222336	1476.54656	1342.17728	1073.74592	1610.612736					
26								4563.431424	2684.399616	2952.810496	2684.35456	2150.13376	3221.225472					
27								9126.834176	5368.721408	5905.600512	5939.134464	4295.462912	4491.575296					
28								18253.672448	10737.496064	11811.442688	12884.901888	8589.938688	8858.370048					
